channel,sample-10011,sample-10012,sample-20021,sample-20022,sample-30031,sample-30032,sample-10041,sample-10042,sample-10051,sample-10052,sample-10061,sample-10062,sample-10071,sample-10072,sample-40081,sample-40082,sample-10091,sample-10092,sample-10111,sample-10112,sample-20121,sample-20122,sample-10151,sample-10152,sample-30161,sample-30162,sample-10171,sample-10172,sample-10181,sample-10182,sample-10191,sample-10192,sample-10201,sample-10202,sample-10211,sample-10212,sample-10221,sample-10222,sample-10231,sample-10232,sample-10241,sample-10242,sample-10251,sample-10252,sample-10261,sample-10262
1657.53,4221.2,3078.4,4002.4,5174.5,6042.4,6021.2,3554.8,3628.8,3746.3,4253.0,4734.0,4055.1,3707.2,3562.6,4852.4,5713.0,4631.3,4503.1,3958.4,4242.3,4578.4,5000.3,3585.5,3395.0,3784.1,3385.7,2136.9,2368.4,3002.9,2888.0,2788.0,2521.1,3632.2,3098.7,2830.5,3316.2,3014.4,2974.0,3127.7,2984.9,2211.1,2180.8,2204.3,2497.0,2393.6,2178.2
1659.28,3869.6,2810.2,3842.1,4903.9,5902.4,5826.4,3278.9,3395.1,3460.4,3932.3,4439.3,3795.3,3386.2,3318.5,4704.2,5620.5,4276.3,4126.7,3652.3,3949.8,4282.6,4736.6,3309.1,3175.6,3588.6,3106.6,2021.6,2261.0,2789.5,2712.5,2668.5,2339.5,3413.2,2897.1,2683.7,3081.1,2782.0,2770.5,2940.7,2770.2,2110.2,2074.2,2043.7,2414.9,2266.7,2066.1
1661.02,3680.5,2704.5,3780.9,4728.3,5917.8,5847.1,3206.8,3210.7,3313.8,3750.1,4282.2,3615.0,3295.2,3218.4,4745.7,5592.6,4050.5,3954.8,3462.6,3774.5,4188.4,4674.4,3162.1,3009.1,3460.8,2981.8,1994.6,2186.4,2684.0,2613.0,2548.0,2274.6,3264.8,2794.0,2548.1,2970.7,2661.4,2676.9,2842.9,2653.9,2024.2,2036.1,1985.8,2334.8,2225.7,1966.0
1662.77,3750.2,2827.7,3955.2,4819.2,6111.3,6043.4,3215.7,3326.9,3409.4,3791.7,4350.1,3685.4,3381.7,3256.8,4810.0,5694.2,4035.2,3979.1,3484.7,3796.3,4256.0,4740.9,3221.7,3109.5,3509.6,3101.0,2034.7,2223.9,2702.2,2579.1,2570.2,2305.9,3290.2,2829.9,2638.3,2929.3,2720.4,2687.6,2790.1,2725.9,2062.6,2099.2,2035.0,2359.7,2274.5,2019.1
1664.51,3606.1,2798.7,3864.8,4669.3,6108.8,6053.8,3157.8,3258.5,3378.0,3709.2,4289.8,3578.6,3286.9,3207.7,4811.3,5731.1,3966.5,3903.5,3391.0,3699.2,4158.9,4699.9,3185.3,3055.0,3469.8,2974.4,1992.3,2177.1,2657.2,2568.2,2530.1,2201.7,3216.6,2731.5,2574.6,2898.8,2621.4,2663.4,2760.9,2701.0,2023.6,2102.3,2003.6,2312.9,2212.8,2030.9
1666.26,3591.8,2788.0,3889.2,4637.8,6129.1,6060.0,3133.8,3232.1,3295.6,3651.5,4237.1,3571.5,3276.2,3190.7,4815.9,5669.5,3875.3,3843.8,3381.8,3662.2,4179.8,4663.7,3118.3,3052.7,3428.8,2999.4,2007.3,2146.0,2624.9,2533.1,2473.4,2241.7,3237.6,2681.7,2570.4,2892.5,2629.6,2623.5,2716.3,2667.5,2015.7,2119.7,1969.0,2309.3,2196.4,1975.6
1668.0,3344.8,2536.9,3688.2,4371.9,6044.0,5838.4,2942.0,3048.5,3121.9,3422.4,3953.6,3310.3,3033.1,2987.4,4724.2,5571.3,3593.0,3609.8,3170.7,3412.7,3952.0,4460.0,2856.5,2818.7,3227.7,2811.8,1842.0,2056.0,2449.4,2402.8,2341.7,2164.4,3020.8,2555.5,2394.8,2716.6,2491.7,2456.3,2578.2,2488.0,1969.0,1997.2,1918.3,2201.5,2069.6,1914.3
1669.74,3167.2,2451.9,3596.7,4250.4,5909.0,5761.5,2781.1,2905.9,3021.8,3297.9,3843.5,3243.4,2915.1,2839.1,4667.5,5580.1,3478.9,3453.8,3027.4,3275.7,3851.5,4341.5,2763.0,2703.5,3151.3,2679.5,1852.9,2021.9,2403.8,2311.5,2290.7,2069.4,2914.1,2476.8,2339.0,2648.7,2347.9,2402.1,2504.0,2438.2,1871.9,1961.2,1854.4,2203.7,2037.5,1840.8
1671.48,3586.6,2890.7,4083.3,4692.1,6406.7,6214.1,3261.2,3363.8,3438.8,3714.8,4236.6,3680.6,3361.5,3284.0,4933.9,5862.9,3883.2,3892.6,3480.9,3696.3,4210.7,4769.1,3187.7,3164.4,3633.3,3117.2,2031.1,2233.2,2688.3,2596.1,2516.9,2292.5,3193.6,2808.1,2634.0,2922.5,2696.2,2677.6,2748.5,2697.3,2109.3,2190.3,2065.2,2351.4,2259.1,2063.4
1673.22,3069.6,2419.2,3628.2,4188.4,5949.3,5771.1,2751.7,2845.4,2920.4,3187.6,3778.3,3176.2,2872.3,2803.1,4659.6,5569.6,3391.8,3377.0,2936.9,3205.0,3736.1,4305.4,2695.6,2649.5,3075.6,2628.2,1818.5,1950.2,2315.0,2259.7,2235.3,2034.6,2832.5,2462.5,2314.2,2620.7,2349.0,2323.5,2467.8,2386.1,1856.7,1959.6,1818.5,2163.1,1983.3,1837.9
1674.96,2982.8,2341.5,3545.7,4107.0,5867.8,5680.7,2661.0,2785.5,2859.0,3100.8,3685.5,3088.3,2753.5,2728.8,4609.5,5554.6,3271.9,3269.8,2829.9,3128.3,3684.9,4213.3,2645.6,2578.3,3011.8,2558.7,1786.1,1900.3,2287.0,2237.7,2200.6,2021.7,2796.6,2378.7,2201.0,2515.5,2273.3,2263.1,2397.1,2300.6,1843.5,1907.6,1790.1,2082.1,1952.1,1783.1
1676.7,3169.7,2567.8,3780.1,4285.9,6091.8,5885.7,2874.2,2959.2,3074.9,3287.5,3861.7,3268.1,2991.1,2924.5,4731.1,5697.1,3461.6,3433.5,3017.4,3311.5,3885.0,4427.9,2793.1,2772.8,3210.9,2771.6,1874.3,2057.5,2390.8,2329.3,2267.1,2110.8,2919.4,2491.9,2367.7,2671.6,2391.4,2367.8,2479.4,2427.8,1916.6,1995.0,1898.4,2203.2,2032.3,1864.6
1678.44,3108.4,2482.2,3666.3,4222.3,6019.8,5840.9,2794.6,2900.0,3013.6,3195.5,3837.1,3239.7,2918.6,2881.8,4683.5,5674.5,3338.5,3341.3,2934.9,3252.6,3759.5,4342.4,2786.4,2729.7,3075.6,2720.3,1845.8,2031.5,2371.3,2269.0,2263.6,2068.0,2824.1,2466.8,2352.0,2575.8,2329.1,2401.4,2429.5,2385.4,1874.8,2008.5,1880.8,2195.7,2027.2,1837.8
1680.18,2942.8,2354.0,3523.0,4034.0,5864.4,5681.3,2618.1,2777.4,2858.8,3065.2,3641.9,3084.3,2746.6,2719.1,4683.1,5568.8,3198.3,3202.4,2867.6,3045.3,3671.8,4213.6,2634.9,2569.6,2999.4,2583.6,1804.1,1921.1,2264.7,2209.4,2152.6,1978.9,2754.6,2364.9,2213.2,2491.7,2274.7,2280.2,2365.9,2284.2,1840.4,1958.3,1783.7,2102.5,1937.5,1761.0
1681.92,3198.7,2620.6,3847.7,4323.1,6154.1,6012.6,2917.3,3087.5,3190.5,3329.7,3987.3,3350.1,3033.3,3022.9,4852.6,5804.6,3464.3,3538.3,3130.7,3360.8,3912.7,4493.2,2882.6,2866.2,3327.2,2872.2,1933.2,2073.0,2435.5,2426.9,2296.3,2151.2,2922.8,2531.5,2410.8,2664.2,2472.0,2465.8,2514.1,2465.6,1965.2,2062.1,1953.7,2234.5,2079.3,1915.5
1683.65,2864.9,2290.7,3476.6,3975.2,5804.8,5668.8,2559.4,2736.7,2801.2,2963.9,3570.8,2984.8,2713.2,2636.7,4644.8,5598.6,3121.9,3148.1,2735.8,2967.3,3612.4,4120.4,2553.0,2516.9,2963.8,2499.8,1744.1,1895.4,2199.2,2190.6,2139.0,1933.3,2694.0,2298.7,2190.6,2430.5,2192.3,2212.3,2279.2,2273.4,1803.1,1908.1,1777.3,2089.1,1927.1,1772.8
1685.39,2697.4,2171.9,3372.6,3815.3,5674.2,5502.9,2467.9,2584.7,2706.1,2839.3,3439.8,2852.8,2577.4,2531.9,4569.1,5598.3,2906.9,2999.3,2598.7,2837.9,3482.9,4028.7,2407.1,2422.4,2838.1,2406.5,1711.4,1839.3,2121.8,2063.4,2052.3,1941.0,2564.5,2216.1,2127.0,2352.2,2124.2,2128.7,2209.2,2115.2,1700.1,1861.1,1710.5,2014.7,1856.1,1707.7
1687.13,2637.2,2152.5,3371.9,3755.3,5733.0,5526.4,2369.2,2539.7,2653.0,2778.7,3380.6,2803.9,2517.8,2458.2,4674.4,5544.9,2873.5,2932.4,2534.4,2804.9,3442.0,3998.5,2348.2,2377.1,2804.7,2358.4,1670.1,1814.2,2080.5,2053.9,2050.9,1853.0,2513.0,2123.1,2102.1,2311.7,2090.9,2092.5,2156.2,2122.7,1735.7,1831.1,1698.8,1983.8,1825.3,1708.9
1688.86,2568.2,2085.0,3312.7,3694.2,5562.8,5488.3,2366.6,2490.9,2596.6,2654.7,3280.7,2739.5,2454.8,2400.9,4600.4,5551.4,2780.9,2827.3,2399.6,2696.5,3365.3,3902.1,2256.1,2306.7,2718.5,2298.3,1626.1,1804.0,1999.6,1987.4,2005.0,1823.7,2478.6,2097.4,1999.5,2243.5,2044.0,2036.3,2115.3,2051.3,1687.8,1806.4,1641.9,1957.9,1783.1,1657.7
1690.59,2484.7,2028.5,3231.5,3549.2,5509.3,5369.2,2289.5,2385.1,2490.1,2559.5,3212.8,2657.9,2320.6,2329.2,4585.9,5526.8,2657.0,2719.5,2364.4,2618.6,3272.7,3876.8,2161.2,2219.0,2629.9,2211.8,1620.1,1729.8,1943.9,1919.0,1907.2,1785.5,2437.6,2030.6,1945.0,2196.5,1931.2,1990.2,2037.0,1978.1,1632.0,1814.5,1652.6,1926.3,1742.2,1623.9
1692.33,2426.1,2019.4,3249.0,3511.0,5498.4,5420.6,2214.5,2322.7,2475.2,2546.6,3179.5,2595.2,2317.9,2311.3,4584.5,5557.0,2566.4,2701.4,2312.7,2561.0,3260.0,3808.2,2106.9,2196.0,2593.7,2142.0,1590.7,1723.7,1944.8,1898.2,1879.8,1778.2,2375.7,2022.9,1938.3,2171.1,1935.0,1956.6,2001.8,1956.0,1621.4,1790.9,1597.4,1916.0,1726.9,1597.3
1694.06,2469.7,2051.4,3299.4,3593.6,5555.0,5490.5,2325.6,2425.4,2556.2,2617.9,3235.9,2671.5,2397.4,2390.0,4652.2,5599.6,2699.7,2725.5,2423.5,2599.5,3298.0,3895.5,2190.0,2269.1,2676.3,2244.7,1645.1,1730.4,1967.6,1963.2,1910.5,1810.6,2427.2,2087.0,2023.6,2184.5,1981.7,1999.6,2046.9,2009.2,1659.8,1826.3,1664.2,1922.5,1741.6,1657.6
1695.79,2399.7,2048.3,3267.3,3533.8,5496.5,5478.0,2236.3,2384.6,2517.8,2498.9,3139.5,2622.4,2350.0,2314.4,4605.2,5607.6,2607.9,2703.9,2321.9,2524.2,3262.4,3837.2,2187.6,2232.4,2693.7,2217.5,1635.3,1723.7,1945.1,1913.6,1870.2,1787.6,2420.3,2040.2,1954.4,2146.8,1949.9,1964.9,2011.0,1982.8,1629.5,1778.1,1675.2,1925.8,1754.2,1608.6
